gemeente,gemeente_id,bureau_id,bureau_label,bureau_zip,total_counted,cast,votes_ongeldig,votes_blanco,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA,Ons Water,West-Brabant Waterbreed,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Lokaal Limburg,Waterbelang Maastricht,SGP-ChristenUnie,Ons-Platteland,ChristenUnie-SGP,Trots op Nederland (TROTS),Vrienden van de Berkel,Vereniging Dorpshuizen en Kleine Kernen,Betaalbaar Water,Lokaal Waterbeheer,Verenigde Senioren Partij,"Groen, Water & Land",Natuurlijk BBW,Ouderen Appèl - Hart voor Water,Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,AWP Niet Politiek Wel Deskundig,"AWPenLRR niet politiek, wel lokaal",Waterschapspartij Hollandse Delta,Hollandse Delta Natuurlijk,OUDERENPARTIJ,,Waterschap@inwonersbelangen,"AWP niet politiek, wel deskundig",FNP,Lagere Lasten Burger,Werken aan Water,De Groenen,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,Integer Liberaal,Partij Sociaal Cultureel Centrum (PSCC),Waterschapspartij PUUR.,"Water, Wonen en Natuur",ChristenUnie/SGP,Werk aan Water Flevoland,OPA
Overbetuwe,1734,1734::SB18,"Stembureau De Wanmolen, Zetten",6671 BR,1358,2141,3,14,105,181,111,227,,158,,228,,,139,122,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,
Overbetuwe,1734,1734::SB19,Stembureau basisschool Ds. van Lingen,6671 AN,921,1879,4,8,67,101,91,127,,107,,200,,,105,52,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,
Overbetuwe,1734,1734::SB88,Stembureau multifunctioneel centrum De Zon,6661 TW,1493,2498,8,24,91,337,12,268,,49,,274,,,190,150,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,
Overbetuwe,1734,1734::SB93,Stembureau dorpshuis Beatrix (13-21 uur),6677 PG,220,411,0,2,22,30,15,41,,8,,50,,,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB1,Stembureau Zorgcentrum Alde Steeg,6641 BG,500,1419,1,9,66,79,2,100,,12,,114,,,61,36,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB2,Stembureau Theater De Molen,6641 BK,834,1553,7,13,93,137,5,167,,21,,197,,,87,74,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB3,Stembureau School de Dromedaris,6642 CM,1123,1978,1,25,105,335,7,185,,36,,214,,,103,91,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB4,Stembureau School de Peppel,6642 AB,992,1616,3,27,137,189,3,202,,29,,159,,,120,108,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB5,Stembureau School Klavervier,6641 ST,694,1805,1,14,102,89,0,136,,11,,96,,,109,105,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB6,Stembureau School de Vuurvlinder,6641 LT,727,1720,8,22,101,130,6,165,,19,,101,,,81,91,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,
