,articlecode,category,heading,href,price,quality,swatches
2884,0765657002,ladies_trousers_loose,Wijde tricot broek,/nl_nl/productpage.0765657002.html,14.99,,['Beige/slangenleerdessin']
2885,0787559002,ladies_skirts_shortskirts,Korte rok,/nl_nl/productpage.0787559002.html,19.99,,['Beige/dessin']
2886,0746170006,ladies_dresses_mididresses,Nauwsluitende tricot jurk,/nl_nl/productpage.0746170006.html,9.99,,['Donkeroranje']
2887,0615970003,ladies_jeans_slim,Boyfriend Low Ripped Jeans,/nl_nl/productpage.0615970003.html,29.99,,['Denimblauw']
2888,0707194001,ladies_shoes_pumps_highheels,Suède slingbacks,/nl_nl/productpage.0707194001.html,49.99,PREMIUM QUALITY,['Zwart']
2889,0660497007,ladies_dresses_shortdresses,Overslagjurk van modalmix,/nl_nl/productpage.0660497007.html,14.99,,['Donkerblauw/wit gestreept']
2890,0745432003,ladies_shoes_sneakers,Slip-in sneakers,/nl_nl/productpage.0745432003.html,19.99,,['Zwart']
2891,0687601002,ladies_hoodiesswetshirts_sweatshirts,Sweater,/nl_nl/productpage.0687601002.html,14.99,,['Wit/Mañana']
2892,0758222003,ladies_tops_vests,Ribgebreide straptop,/nl_nl/productpage.0758222003.html,9.99,,['Oker']
2893,0790973001,ladies_tops_shortsleeve,Top met siliconenprint,/nl_nl/productpage.0790973001.html,19.99,,['Wit/Biarritz']
2894,0675142012,ladies_tops_longsleeve,Off-the-shouldertop,/nl_nl/productpage.0675142012.html,19.99,,['Zwart']
2895,0729441001,ladies_tops_croppedtops,Korte off-the-shouldertop,/nl_nl/productpage.0729441001.html,12.99,,['Zwart']
2896,0697054010,ladies_shirtsblouses_blouses,Blouse met lange mouwen,/nl_nl/productpage.0697054010.html,14.99,,['Lichtgroen/bloemen']
2897,0572797033,ladies_tops_vests,Singlet met kant,/nl_nl/productpage.0572797033.html,5.99,,['Lichtroze']
2898,0747245001,ladies_maternity_bottoms,MAMA Broek van lyocell,/nl_nl/productpage.0747245001.html,29.99,,['Lichtblauw']
2899,0746283001,ladies_shirtsblouses_blouses,Blouse met broderie anglaise,/nl_nl/productpage.0746283001.html,29.99,,['Zwart']
2900,0767090001,ladies_jeans_slim,Slim High Jeans,/nl_nl/productpage.0767090001.html,24.99,,['Denimblauw']
2901,0738072001,ladies_tops_longsleeve,Geribde off-the-shouldertop,/nl_nl/productpage.0738072001.html,14.99,,['Zwart']
2902,0479549005,ladies_dresses_shortdresses,Bikerjack van twill,/nl_nl/productpage.0479549005.html,39.99,,['Wit']
2903,0693322003,ladies_sport_bottoms_shorts,Korte sportlegging,/nl_nl/productpage.0693322003.html,12.99,,['Donkerblauw/lichtbeige']
2904,0743644005,ladies_dresses_shortdresses,Tricot jurk,/nl_nl/productpage.0743644005.html,14.99,,['Rood']
2905,0693322002,ladies_sport_bottoms_shorts,Korte sportlegging,/nl_nl/productpage.0693322002.html,12.99,,['Donkergrijs/dessin']
2906,0399223037,ladies_jeans_skinny,Super Skinny High Jeggings,/nl_nl/productpage.0399223037.html,19.99,,['Kakigroen']
2907,0666382007,ladies_knitwear_jumpers,Top met vleermuismouwen,/nl_nl/productpage.0666382007.html,14.99,,['Lichtbeige']
2908,0603145012,ladies_lingerie_briefsknickers_multipack,Set van 3 katoenen hipsters,/nl_nl/productpage.0603145012.html,9.99,,['Zwart/poederroze']
