,articlecode,category,heading,href,price,quality,swatches
2176,0620316001,men_tshirtstanks_shortsleeve,Wijd T-shirt,/nl_nl/productpage.0620316001.html,7.99,,['Wit']
2177,0694966006,men_hoodiessweatshirts_hoodies,Capuchonsweater met biezen,/nl_nl/productpage.0694966006.html,19.99,,['Bordeauxrood']
2178,0578630007,men_tshirtstanks_shortsleeve,Set van 3 T-shirts - Slim Fit,/nl_nl/productpage.0578630007.html,19.99,,['Donkerblauw/gestreept']
2179,0759941001,men_shirts_shortsleeved,Casual overhemd met dessin,/nl_nl/productpage.0759941001.html,19.99,,['Zwart/dessin']
2180,0721460002,men_hoodiessweatshirts_hoodies,Capuchonsweater met print,/nl_nl/productpage.0721460002.html,24.99,,['Donkerblauw/kolibrie']
2181,0691899002,men_hoodiessweatshirts_hoodies,Capuchonsweater,/nl_nl/productpage.0691899002.html,24.99,,['Donkertaupe']
2182,0708711002,men_tshirtstanks_shortsleeve,T-shirt - Slim fit,/nl_nl/productpage.0708711002.html,24.99,,['Zwart']
2183,0763307003,men_accessories_jewellery,Set van 9 houten armbanden,/nl_nl/productpage.0763307003.html,4.99,,['Roze/meerkleurig']
2184,0752799001,men_tshirtstanks_shortsleeve,T-shirt in blokkleuren,/nl_nl/productpage.0752799001.html,9.99,,['Grijs gemêleerd/94']
2185,0670334005,men_hoodiessweatshirts_sweatshirts,Tricot sweater met tunnelkraag,/nl_nl/productpage.0670334005.html,24.99,,['Grijs gemêleerd']
2186,0707061002,ladies_takecare,Strijkapplicaties,/nl_nl/productpage.0707061002.html,3.99,,['Rood/bloem']
2187,0706271005,men_socks,Sokken,/nl_nl/productpage.0706271005.html,3.99,,['Wit/bananen']
2188,0735379001,men_shoes_other,Canvas bootschoenen,/nl_nl/productpage.0735379001.html,34.99,,['Donkerblauw']
2189,0762375005,men_tshirtstanks_shortsleeve,T-shirt van katoenen tricot,/nl_nl/productpage.0762375005.html,14.99,,['Zwart/The Lion King']
2190,0748361003,men_socks,Volwassenen- en kindersokken,/nl_nl/productpage.0748361003.html,4.99,,"['Roze, maat 29/32']"
2191,0607046002,men_shorts,Knielange katoenen short,/nl_nl/productpage.0607046002.html,19.99,,['Nevelgroen']
2192,0560621005,men_jacketscoats_jackets,Denim jack met teddy voering,/nl_nl/productpage.0560621005.html,59.99,,['Lichtbeige']
2193,0624110006,men_shirts_casual,Overhemd - Regular fit,/nl_nl/productpage.0624110006.html,29.99,PREMIUM QUALITY,['Lichtblauw']
2194,0736404001,men_accessories_sunglasses,Zonnebril,/nl_nl/productpage.0736404001.html,9.99,,['Goudkleurig/schildpaddessin']
2195,0757813005,men_tshirtstanks_tanks,Tanktop,/nl_nl/productpage.0757813005.html,4.99,,['Bordeauxrood']
2196,0665666009,men_jeans_slim,Slim Straight Selvedge Jeans,/nl_nl/productpage.0665666009.html,59.99,,['Licht denimblauw']
2197,0662369016,men_underwearloungewear_underwear,Set van 3 geweven boxershorts,/nl_nl/productpage.0662369016.html,19.99,,['Helderblauw/geruit']
2198,0775674001,ladies_takecare,Set van 3 strijkapplicaties,/nl_nl/productpage.0775674001.html,4.99,,['Roze/Love']
2199,0755284001,men_shirts_longsleeved,Katoenen overhemd Regular Fit,/nl_nl/productpage.0755284001.html,24.99,,['Blauw/groen']
2200,0699149001,men_blazerssuits_blazers,Colbert van wolmix - Slim fit,/nl_nl/productpage.0699149001.html,99.00,PREMIUM QUALITY,['Donkergrijs/geruit']
2201,0615038042,men_tshirtstanks_shortsleeve,T-shirt met motief,/nl_nl/productpage.0615038042.html,14.99,,['Wit/Looney Tunes']
2202,0719428001,men_sport_running,Hardloopshort,/nl_nl/productpage.0719428001.html,24.99,,['Lichtgrijs gemêleerd']
2203,0715489003,men_hoodiessweatshirts_hoodies,Capuchonsweater met motief,/nl_nl/productpage.0715489003.html,29.99,,['Zwart/draak']
2204,0451229042,men_jeans_skinny,Skinny Jeans,/nl_nl/productpage.0451229042.html,29.99,,['Zwart washed out']
2205,0681354001,men_trousers_trousers_slim_all,Kostuumpantalon van wolmix,/nl_nl/productpage.0681354001.html,39.99,,['Donkerblauw/geruit']
2206,0421387036,men_sport_tops,Hardloopshirt met korte mouwen,/nl_nl/productpage.0421387036.html,14.99,,['Zwart/Run your city']
2207,0675465002,men_sport_jackets,Gewatteerd outdoorjack,/nl_nl/productpage.0675465002.html,49.99,,['Zwart']
2208,0713948002,men_tshirtstanks_tanks,Tanktop met motief,/nl_nl/productpage.0713948002.html,9.99,,['Wit/standbeeld']
2209,0756405001,men_accessories_bags,Opvouwbaar heuptasje,/nl_nl/productpage.0756405001.html,12.99,,['Donkergrijs gemêleerd']
2210,0640755001,men_hoodiessweatshirts_sweatshirts,Sweater met opstaande kraag,/nl_nl/productpage.0640755001.html,19.99,,['Zwart']
2211,0759954001,men_shorts,Short van mesh,/nl_nl/productpage.0759954001.html,19.99,,['Zwart/Post-it']
2212,0695325003,men_shirt_dressed_slimfit,Overhemd van viscose- Slim fit,/nl_nl/productpage.0695325003.html,14.99,,['Rood/bladdessin']
2213,0726685001,men_accessories_hatsandgloves,Leren smartphonehandschoenen,/nl_nl/productpage.0726685001.html,29.99,PREMIUM QUALITY,['Zwart']
2214,0732254002,men_hoodiessweatshirts_hoodies,Capuchonsweater met motief,/nl_nl/productpage.0732254002.html,24.99,,['Beige/Brooklyn Bridge Park']
2215,0640865002,men_trousers_joggers,Joggers - Skinny fit,/nl_nl/productpage.0640865002.html,19.99,,['Grijs gemêleerd']
2216,0653185001,men_tshirtstanks_shortsleeve,Tricot T-shirt,/nl_nl/productpage.0653185001.html,9.99,,['Zwart']
2217,0759912002,men_accessories_hatscaps,Pet met applicatie,/nl_nl/productpage.0759912002.html,14.99,,['Neongeel']
2218,0660010003,men_shirts_casual,Overhemd - Regular fit,/nl_nl/productpage.0660010003.html,19.99,,['Donkerbruin/blauw geruit']
2219,0683413002,men_shirts_longsleeved,Linnen overhemd - Slim Fit,/nl_nl/productpage.0683413002.html,34.99,PREMIUM QUALITY,['Lichtblauw gemêleerd']
2220,0618329008,men_shirts_casual,Katoenen overhemd - Muscle fit,/nl_nl/productpage.0618329008.html,19.99,,['Wit/zwarte stippen']
2221,0721366005,men_trousers_joggers,Twill joggers - Regular fit,/nl_nl/productpage.0721366005.html,19.99,,['Donkerbeige']
2222,0717297001,men_bags,Lichtgewicht rugzak,/nl_nl/productpage.0717297001.html,17.99,,['Zwart']
2223,0636207004,men_jeans_slim,Slim Jeans,/nl_nl/productpage.0636207004.html,19.99,,['Denimblauw']
2224,0738721001,men_accessories_jewellery,Halsketting met hangertjes,/nl_nl/productpage.0738721001.html,7.99,,['Goudkleurig']
2225,0701259001,men_cardigansjumpers_jumpers,Structuurgebreide trui,/nl_nl/productpage.0701259001.html,24.99,,['Zwart']
2226,0758252002,men_tshirtstanks_shortsleeve,T-shirt met borstzak,/nl_nl/productpage.0758252002.html,9.99,,['Gebroken wit']
2227,0572325007,men_hoodiessweatshirts,Sweater in blokkleuren,/nl_nl/productpage.0572325007.html,19.99,,['Geel/donkerblauw']
2228,0702757002,men_hoodiessweatshirts_hoodies,Capuchonsweater,/nl_nl/productpage.0702757002.html,29.99,,['Zwart']
2229,0759107001,men_shoes_sneakers,Leren sneakers,/nl_nl/productpage.0759107001.html,89.99,PREMIUM QUALITY,['Zwart']
2230,0712295004,men_jacketscoats_jackets,Windbreaker,/nl_nl/productpage.0712295004.html,29.99,,['Zwart/dessin']
2231,0607232001,men_shorts_denim,Denim short Trashed,/nl_nl/productpage.0607232001.html,24.99,,['Lichtroze']
